"County","Sector","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"RIVERSIDE","Residential","     302.049299","     304.776599","     259.344553","     254.095676","     252.688320","     224.847393","     207.343920","     253.347543","     242.957284","     269.219174","     267.215375","     257.963404","     272.664673","     266.215028","     263.561182","     256.830858","     276.028293","     260.295321","     276.798042","     280.367686","     231.789232","     245.426167","     243.030405","     209.360635","     204.664087","     205.959932","     223.087621","     217.086186","     212.561010","     217.513961","     207.699271","    7666.788130"
"SACRAMENTO","Residential","     196.703812","     199.788073","     194.345859","     198.851836","     182.459477","     176.512509","     172.911259","     209.649351","     204.645176","     220.407313","     210.618360","     211.280907","     206.653254","     208.381584","     206.504925","     203.714886","     211.760309","     208.781301","     212.978171","     201.006688","     207.916720","     226.755065","     218.663211","     189.402335","     189.603286","     187.791786","     207.572480","     205.746482","     188.439699","     204.645671","     194.414105","    6258.905890"
"SAN BENITO","Residential","       7.201198","       6.910951","       6.305243","       6.399008","       5.899782","       5.773532","       5.520175","       6.900597","       6.636292","       6.829514","       6.756166","       6.631060","       6.729063","       6.693379","       6.633099","       6.543481","       6.801907","       6.706218","       6.841025","       6.456492","       7.174264","       7.726998","       6.957450","       5.776373","       5.493299","       5.198282","       5.948740","       5.433239","       4.893723","       5.405677","       5.016936","     196.193163"
"SAN BERNARDINO","Residential","     267.362800","     275.034031","     231.468146","     235.146383","     234.628679","     223.939116","     213.697168","     262.938708","     249.449762","     271.015054","     268.952455","     256.151352","     259.203545","     261.618048","     261.628113","     254.438059","     274.985393","     251.359374","     260.667104","     262.343108","     259.375930","     273.852895","     281.228040","     248.524873","     246.494957","     248.016129","     265.271779","     257.896023","     255.561492","     262.134697","     268.320412","    7942.703625"
"SAN DIEGO","Residential","     302.849797","     303.771611","     264.526740","     272.796531","     268.989959","     255.632102","     256.576175","     318.306133","     311.180545","     326.950605","     337.913994","     308.747489","     324.692766","     331.933074","     345.407561","     335.165037","     357.561834","     339.788853","     357.118566","     358.484528","     340.240000","     336.396742","     323.967176","     311.537610","     317.043317","     316.193149","     343.816395","     327.053252","     313.662931","     335.282095","     337.914904","    9881.501471"
"SAN FRANCISCO","Residential","     131.649239","     132.991023","     131.708257","     132.686709","     129.691210","     121.859957","     123.885787","     149.956187","     149.971626","     153.271301","     153.175270","     152.136446","     155.295302","     149.712563","     148.364270","     146.359756","     152.140021","     149.999741","     153.014999","     144.414040","     167.285339","     187.057292","     172.397128","     155.948393","     160.911587","     161.678399","     177.078313","     167.620849","     159.255637","     184.027844","     180.513222","    4736.057707"
"SAN JOAQUIN","Residential","      88.802288","      89.135338","      85.595097","      86.569922","      79.777541","      79.102273","      77.094026","      92.760976","      90.497135","      97.915010","      93.083709","      92.020826","      90.908498","      92.220734","      91.390205","      90.155454","      93.716012","      92.397631","      94.254986","      88.956922","      89.170693","      97.987870","      92.994284","      80.242607","      79.395432","      77.259512","      88.593089","      85.693401","      79.025715","      85.167254","      84.892672","    2726.777112"
"SAN LUIS OBISPO","Residential","      38.870242","      38.737334","      36.261461","      35.750791","      34.939014","      32.361254","      32.755086","      40.847067","      39.996302","      41.236394","      40.525638","      39.781484","      40.086958","      41.005818","      40.597180","      39.562237","      42.514348","      40.097537","      42.633348","      43.172781","      38.224990","      42.164225","      39.312484","      33.235019","      33.584529","      32.810402","      35.546039","      33.274078","      34.855707","      35.670203","      33.836581","    1174.246531"
"SAN MATEO","Residential","     117.998101","     118.816393","     114.651531","     116.438529","     108.843946","     105.424683","     105.396651","     131.944558","     130.041201","     135.392178","     132.530722","     132.070338","     136.422816","     130.210072","     129.037416","     127.294022","     132.321314","     130.459841","     133.082312","     125.601767","     151.473964","     171.207759","     157.570480","     138.465828","     137.586933","     137.991025","     156.598003","     147.135338","     134.505703","     155.333420","     151.428045","    4133.274889"
"SANTA BARBARA","Residential","      60.026706","      59.731418","      54.479997","      56.408057","      53.311452","      49.660443","      50.768983","      64.324758","      62.634116","      65.888374","      65.881014","      64.060114","      64.583269","      64.948731","      64.301270","      62.659266","      67.342883","      63.504495","      67.530679","      68.401568","      67.724082","      73.965563","      70.755079","      62.119153","      66.872142","      60.206813","      65.213616","      66.554364","      64.007265","      65.498707","      64.070312","    1957.434689"
"SANTA CLARA","Residential","     245.124299","     244.779022","     234.715210","     240.527710","     219.878081","     217.450627","     215.784500","     261.171299","     257.391193","     271.397613","     259.963474","     264.169300","     268.636399","     262.298609","     259.868357","     242.536753","     265.702785","     264.253880","     263.751114","     251.367549","     293.763807","     328.961462","     311.121748","     271.979656","     266.018774","     267.668985","     305.185565","     294.592921","     270.866827","     298.292881","     291.452277","    8210.672677"
"SANTA CRUZ","Residential","      33.176687","      32.584537","      31.373465","      32.111100","      30.599367","      29.388145","      29.085183","      36.513569","      36.017060","      37.220717","      36.578802","      36.178744","      36.662417","      35.835324","      35.512596","      35.032794","      36.416363","      35.904064","      36.625798","      34.567065","      39.878147","      44.911088","      40.927991","      35.758750","      36.323118","      35.442199","      41.123177","      39.587379","      35.789070","      39.773254","      37.745625","    1114.643595"
"SHASTA","Residential","      17.700493","      18.583625","      16.780435","      18.643018","      17.427792","      15.747071","      15.884545","      19.201589","      19.437344","      20.617199","      20.240903","      19.314924","      20.383970","      19.461209","      19.285944","      19.025376","      19.776756","      19.498540","      19.890494","      18.772451","      19.532343","      20.957488","      20.709113","      17.431611","      17.775729","      17.170784","      17.876402","      18.438087","      15.453418","      15.740743","      14.254024","     571.013420"
"SIERRA","Residential","","","","","","","","","","","","","","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","","","","","","","","","","","",""
"SOLANO","Residential","      57.434496","      59.099223","      56.353688","      57.943450","      53.458024","      51.418125","      50.101797","      61.296785","      60.396233","      65.700384","      62.429073","      61.394958","      61.720797","      61.209585","      60.658339","      59.838799","      62.202045","      61.326998","      62.559778","      59.043298","      65.714693","      73.159518","      68.305172","      57.623307","      57.573916","      57.724180","      65.868277","      64.501815","      57.457452","      63.373574","      61.976884","    1878.864663"
"SONOMA","Residential","      69.190815","      70.540575","      69.236436","      72.444306","      66.549290","      63.319676","      63.744096","      78.441783","      76.332354","      80.358746","      77.719943","      77.930384","      79.022067","      77.071063","      76.376971","      75.345060","      78.320703","      77.218901","      78.771136","      74.343418","      83.591204","      92.392703","      85.938137","      73.011664","      72.049369","      72.314084","      84.207769","      81.650494","      73.803038","      79.247319","      75.751323","    2356.234827"
"STANISLAUS","Residential","      62.617162","      62.426361","      60.305422","      61.076499","      56.842451","      56.831878","      55.150943","      66.598992","      64.838644","      69.601388","      66.370197","      66.377219","      66.279180","      66.192616","      65.596494","      64.710235","      67.265872","      66.319587","      67.652727","      63.849973","      67.951419","      75.719452","      72.092305","      61.776454","      61.153092","      59.833790","      68.665819","      65.004197","      60.424042","      65.182563","      63.505677","    1998.212650"
"SUTTER","Residential","      12.002404","      12.575638","      11.882140","      12.359959","      11.327682","      10.858874","      10.921695","      13.003670","      12.863914","      13.898588","      13.093864","      13.296967","      13.433358","      13.093623","      12.975703","      12.800392","      13.305925","      13.118739","      13.382449","      12.630223","      13.184658","      14.562313","      13.870429","      11.950506","      12.080483","      11.951045","      13.053335","      12.703492","      11.361950","      12.225374","      11.812282","     391.581674"
"TEHAMA","Residential","       3.747439","       3.976070","       3.611388","       3.960383","       3.751556","       3.497670","       3.517847","       4.242007","       4.209466","       4.460629","       4.388176","       4.226200","       4.304555","       4.241742","       4.203542","       4.146749","       4.310518","       4.249879","       4.335309","       4.091621","       4.651043","       5.161900","       5.012739","       4.313240","       4.379672","       4.322757","       4.609451","       4.802685","       4.381182","       4.529387","       4.315549","     131.952351"
"TRINITY","Residential","       0.014345","       0.019343","       0.021272","       0.021338","       0.020781","       0.017285","       0.018320","       0.020439","       0.021088","       0.022221","       0.021420","       0.020204","       0.021156","       0.020965","       0.020776","       0.020495","       0.021305","       0.021005","       0.021427","       0.020223","       0.022928","       0.025722","       0.025112","       0.021707","       0.021977","       0.020966","       0.024579","       0.025770","       0.019955","       0.020642","       0.019117","       0.653883"
"TULARE","Residential","      53.273440","      50.596380","      49.289222","      48.274829","      46.531542","      46.593639","      44.841958","      53.165881","      52.469112","      56.915457","      55.065397","      55.224816","      54.037778","      55.841368","      55.284696","      53.872941","      57.899802","      54.599648","      58.061265","      58.810035","      50.907747","      56.909745","      54.611391","      47.469125","      48.042609","      48.200520","      52.208991","      49.237105","      49.549715","      50.704293","      51.111163","    1619.601610"
"VENTURA","Residential","     114.785920","     113.745137","      99.129837","     101.639394","     100.838883","      94.002203","      93.507905","     117.509318","     113.995702","     124.344854","     122.784824","     118.535650","     120.231526","     120.494253","     119.293069","     116.246790","     124.935933","     117.814875","     125.284337","     126.900029","     126.430880","     134.830206","     133.795381","     114.554725","     114.526257","     111.772630","     121.067655","     116.366888","     117.895512","     120.642626","     117.459111","    3615.362310"
"YOLO","Residential","      25.117667","      25.730733","      24.617181","      25.286493","      23.197140","      22.366494","      21.961902","      26.933570","      26.265628","      28.374275","      27.190038","      26.988585","      26.843801","      26.723328","      26.482661","      26.124860","      27.156623","      26.774588","      27.312805","      25.777554","      26.525296","      28.392873","      27.138928","      23.790360","      23.366330","      23.339873","      26.250949","      25.899981","      24.021365","      25.316794","      24.679055","     795.947730"
"YUBA","Residential","       7.177800","       7.345743","       7.188810","       7.115577","       6.678549","       6.321867","       6.398526","       7.653199","       7.523781","       8.087070","       7.711784","       7.732839","       7.473039","       7.610095","       7.541559","       7.439667","       7.733486","       7.624692","       7.777962","       7.340764","       7.070292","       7.708791","       7.489106","       6.668784","       6.787839","       6.683483","       7.565513","       7.548215","       6.951010","       7.496285","       7.439773","     226.885900"
