"County","Sector","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"MODOC","Total","     165.278320","     145.192405","     148.977829","     152.811111","     152.095902","     164.673583","     167.939506","     169.106878","     163.951725","     149.266012","     154.042440","     159.040124","     160.847923","     146.464782","     160.302097","     153.502761","     151.678479","     169.410156","     161.659936","     162.143341","     165.152453","     166.379517","     142.508443","     164.591158","     176.209543","     137.400730","     143.794174","     156.182727","     162.784875","     128.373771","     139.940919","    4841.703620"
"MONO","Total","     200.025790","     211.601096","     197.010201","     199.494845","     189.684527","     188.898325","     191.590821","     204.422840","     196.941677","     204.773591","     201.156694","     199.671981","     199.703820","     185.581826","     174.901957","     195.599923","     195.082050","     163.458627","     145.722793","     136.529180","     146.895189","     153.034493","     186.345661","     181.058130","     170.287274","     165.460044","     169.584752","     166.931950","     162.219800","     184.867233","     159.319521","    5627.856611"
"MONTEREY","Total","    2434.272857","    2499.533372","    2506.256881","    2581.851474","    2580.877090","    2666.050178","    2613.942734","    2633.467452","    2556.664415","    2575.876946","    2575.271586","    2603.572390","    2623.671819","    2589.375114","    2558.714945","    2557.370689","    2619.002890","    2599.764600","    2566.896157","    2496.822881","    2502.430806","    2484.664673","    2275.809169","    2351.909092","    2246.451466","    2276.214833","    2092.382654","    2202.366963","    2210.001332","    2184.817134","    2122.100590","   76388.405182"
"NAPA","Total","    1032.739108","    1047.022828","    1033.898938","    1060.302948","    1057.187020","    1053.249434","    1047.329511","    1054.431868","    1039.062914","    1031.784974","    1020.668688","    1024.787720","    1038.936273","    1010.274579","     992.078798","     948.974232","     937.338114","     917.663545","     899.801393","     867.027597","     938.532484","     921.903943","     861.678050","     840.004670","     796.505243","     706.633885","     680.896891","     692.432841","     684.661579","     646.675129","     631.620557","   28516.105754"
"NEVADA","Total","     732.984531","     712.226451","     716.623811","     743.441671","     661.179733","     628.082375","     635.031983","     657.331597","     661.579651","     659.147852","     655.400311","     660.107151","     667.351753","     655.060760","     649.344516","     626.799749","     624.981077","     595.088758","     612.050865","     581.285267","     588.706557","     571.250322","     557.742120","     529.953946","     522.964434","     507.926251","     512.402460","     497.630683","     483.297529","     500.412367","     481.975536","   18889.362067"
"ORANGE","Total","   19733.139603","   19857.369779","   20028.855374","   20203.848766","   20242.478249","   20739.176018","   20748.854082","   20279.555138","   20400.154792","   19924.714233","   19769.526511","   20677.173652","   21537.694476","   21129.513592","   21325.143574","   20688.971855","   20412.984967","   19714.032907","   18989.693180","   17684.151339","   20090.430082","   19107.107727","   19257.405211","   18538.229577","   17731.360613","   17097.471405","   17290.252227","   16619.122956","   17392.463111","   16605.068094","   16759.276430","  600575.219520"
"PLACER","Total","    2996.213366","    2918.079098","    2909.972231","    2974.056455","    2939.584126","    2896.286613","    2917.545806","    2880.794524","    2908.389121","    2890.758571","    2881.738310","    2949.554425","    3018.558761","    3004.176561","    2835.132199","    2695.389546","    2711.899222","    2557.549408","    2436.282712","    2275.643295","    2352.575244","    2215.047729","    2128.929498","    1934.874656","    1829.063692","    1858.131537","    1794.466121","    1669.272402","    1586.812580","    1596.550767","    1492.592759","   77055.921335"
"PLUMAS","Total","     216.036805","     210.358936","     205.714779","     201.016711","     202.843196","     194.025753","     200.554304","     211.860951","     224.106346","     219.274331","     199.843188","     202.288042","     217.770711","     215.932011","     223.768227","     193.922603","     194.232441","     195.438440","     219.257939","     186.696385","     202.089880","     201.797196","     191.862723","     217.596324","     181.521330","     160.905286","     150.959280","     228.987747","     221.594323","     183.594684","     178.424229","    6254.275101"
"RIVERSIDE","Total","   16857.930966","   15846.970656","   15894.947316","   15865.869905","   15421.493733","   15263.056483","   15541.725804","   15145.804015","   15288.421528","   14413.013341","   14057.646027","   14503.838310","   15087.893858","   14952.333474","   15196.660976","   13241.911081","   12700.583441","   12752.384236","   11509.008416","   10417.461634","   11623.663165","   10751.795196","    9960.878822","    9839.763913","    9552.215723","    9138.110289","    9012.977929","    7169.877540","    7211.068987","    6904.850597","    6764.057841","  387888.215202"
"SACRAMENTO","Total","   11063.247071","   10919.949326","   10918.809841","   11392.782662","   10831.571488","   10910.742377","   10976.554936","   10805.863227","   10788.382107","   10728.166950","   10711.469413","   10989.865626","   11102.943866","   11068.756307","   11001.337018","   10710.170652","   10340.869316","   10042.703518","    9564.328593","    9551.971093","    9734.082484","    9523.430758","    9276.318865","    9112.008631","    9031.107857","    8605.658806","    8624.436896","    8582.342867","    8570.960932","    8397.128177","    8409.099665","  312287.061325"
