"County","Sector","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"SACRAMENTO","Residential","    5160.932169","    4714.243582","    4719.373900","    5161.568996","    4784.432043","    4726.280980","    4723.562786","    4683.697017","    4681.783326","    4631.227213","    4525.143494","    4727.228964","    4711.968941","    4651.807225","    4763.025482","    4577.294682","    4424.098794","    4380.097321","    4103.329307","    4035.046201","    4140.969208","    3958.393622","    3983.332549","    3837.197079","    3865.551540","    3581.202568","    3694.828431","    3650.245317","    3634.599466","    3617.630125","    3625.074714","  134475.167042"
"SAN BENITO","Residential","     144.989779","     130.045971","     124.077866","     123.675247","     118.933119","     118.059563","     115.652539","     119.757106","     117.915939","     116.277089","     116.659941","     117.417770","     117.513368","     119.254413","     118.454937","     115.980089","     117.392105","     114.331767","     111.070427","     105.787837","     109.680197","     104.493261","      96.909250","      90.384096","      85.048890","      78.643154","      77.687541","      75.114599","      71.536465","      71.635891","      70.136148","    3314.516364"
"SAN BERNARDINO","Residential","    6102.925598","    5326.430190","    5160.916217","    5162.799823","    4960.645426","    4925.004743","    4751.892615","    4685.609783","    4771.655160","    4716.811771","    4600.372551","    4796.794813","    4913.301364","    4785.440909","    4977.318588","    5241.895070","    5044.525562","    4251.048275","    3817.714910","    3717.422000","    3950.484086","    3631.979804","    3627.311783","    3553.100913","    3548.364224","    3429.884601","    3411.102400","    3797.836492","    3964.319884","    3773.015371","    3825.313313","  137223.238239"
"SAN DIEGO","Residential","    7387.046267","    6573.152838","    6711.739591","    6747.412499","    6677.171207","    6826.944131","    6830.151820","    6782.571757","    6892.874708","    6692.268102","    6626.887524","    6790.824725","    6916.899923","    6751.637513","    6718.078167","    6327.958855","    6331.095832","    6043.330468","    5677.830690","    5494.498504","    5853.184856","    5840.593866","    5713.605691","    5530.367207","    5385.364689","    5213.745075","    5218.545736","    5062.419031","    5120.240950","    4879.208742","    5204.506395","  190822.157359"
"SAN FRANCISCO","Residential","    1563.597203","    1476.420133","    1451.224081","    1469.803128","    1454.518274","    1430.612561","    1436.932739","    1501.566255","    1511.478198","    1523.910903","    1517.897477","    1501.176265","    1484.213223","    1467.396097","    1490.984492","    1444.351134","    1381.161550","    1363.706397","    1365.719387","    1345.607597","    1414.775759","    1431.182896","    1355.956962","    1315.529271","    1273.247416","    1280.021070","    1257.328920","    1252.797683","    1210.064743","    1244.609201","    1218.100550","   43435.891565"
"SAN JOAQUIN","Residential","    2115.736915","    1871.668876","    1821.344051","    1873.353096","    1763.123313","    1747.488416","    1765.619840","    1739.895506","    1752.784688","    1707.288934","    1684.009704","    1726.254326","    1706.557560","    1700.716166","    1715.405705","    1651.965702","    1631.724399","    1575.137208","    1474.052004","    1410.463039","    1461.392888","    1381.496931","    1359.676681","    1320.510486","    1309.102617","    1213.722881","    1193.755366","    1202.847795","    1202.711990","    1183.308681","    1160.007393","   48423.123157"
"SAN LUIS OBISPO","Residential","     684.754544","     638.264967","     642.845388","     651.180499","     636.110814","     633.947554","     631.714183","     660.689266","     665.170618","     656.217750","     657.067077","     668.235469","     673.150349","     671.520545","     682.396712","     651.194018","     636.823090","     624.859251","     542.058665","     625.812696","     599.985223","     586.123223","     561.133148","     538.657641","     524.969428","     505.762762","     493.122675","     493.668203","     483.462830","     493.915381","     487.020224","   18701.834193"
"SAN MATEO","Residential","    1651.906843","    1538.968803","    1510.637228","    1524.206834","    1501.044557","    1507.180942","    1507.281275","    1574.115637","    1586.291938","    1605.584329","    1617.719019","    1614.531119","    1613.053964","    1593.387963","    1597.629153","    1568.422200","    1545.741158","    1514.162099","    1513.326802","    1475.198816","    1586.723204","    1591.034395","    1534.497299","    1483.444353","    1445.210949","    1413.561677","    1412.081315","    1415.799756","    1371.915575","    1400.528192","    1392.880024","   47208.067418"
"SANTA BARBARA","Residential","     837.127938","     788.050911","     758.279448","     765.400403","     759.004767","     765.938248","     805.725443","     832.595334","     837.982892","     800.783381","     801.523873","     809.097071","     815.702408","     813.735510","     773.119208","     807.174602","     789.748037","     772.945977","     742.539163","     736.791305","     773.080730","     737.409142","     719.325416","     706.492920","     682.029493","     672.124025","     670.743134","     662.362487","     655.938051","     659.268904","     647.314279","   23399.354500"
"SANTA CLARA","Residential","    4392.364209","    3983.468475","    3856.160526","    3964.581384","    3809.547596","    3857.197217","    3850.512708","    3916.473837","    3888.083275","    3924.698466","    3923.314820","    3969.525469","    3955.006887","    3900.018764","    4091.665975","    3885.280825","    3777.604582","    3856.745985","    3631.788038","    3632.546272","    3816.316597","    3773.114506","    3649.258914","    3509.355246","    3408.446035","    3295.025941","    3205.731343","    3240.047942","    3148.037332","    3163.287437","    3137.451293","  115412.657896"
"SANTA CRUZ","Residential","     569.998068","     544.808370","     544.990291","     554.395644","     557.574212","     552.521498","     559.483469","     596.356644","     601.338232","     604.495709","     604.838923","     596.090336","     586.967871","     585.674540","     568.156935","     564.037790","     570.900594","     544.650042","     542.897849","     545.837710","     599.387267","     589.335049","     564.512912","     542.318643","     528.213716","     518.464139","     514.354866","     515.416561","     498.169490","     510.493279","     502.601156","   17279.281805"
"SHASTA","Residential","     771.225097","     730.356705","     742.265847","     758.834582","     734.948161","     720.324823","     724.747577","     748.369898","     748.243723","     746.575817","     746.536756","     756.904916","     752.715255","     741.158881","     743.442699","     710.112860","     712.942254","     689.584829","     668.134977","     639.896512","     653.242309","     642.079804","     634.757591","     626.990120","     661.759299","     615.819594","     608.054044","     598.225337","     605.132082","     606.142311","     578.296518","   21417.821178"
"SIERRA","Residential","      13.420835","      12.784155","      13.255503","      13.657788","      15.802454","      14.473186","      13.289112","      13.916899","      14.208913","      14.045398","      14.378415","      14.395801","      14.503456","      16.766728","      14.853833","      15.222900","      15.111176","      15.062185","      14.777148","      14.826266","      14.627973","      14.848177","      14.731826","      13.908981","      13.839174","      13.550549","      13.418544","      10.250577","       9.834690","      13.437381","      13.450056","     434.650079"
"SISKIYOU","Residential","     235.549566","     226.955061","     221.991700","     234.892785","     220.355750","     220.630317","     215.458115","     232.509454","     228.148912","     235.505983","     236.688719","     240.152184","     246.869551","     243.950495","     236.555884","     235.506955","     229.832481","     231.002231","     218.073691","     212.440468","     222.355376","     222.445014","     222.079025","     226.711535","     284.668763","     208.569589","     219.433100","     211.169746","     221.741968","     214.121954","     191.862981","    7048.229353"
"SOLANO","Residential","    1191.820607","    1064.360688","    1033.242007","    1074.084694","    1019.918754","    1015.819091","    1010.184908","    1021.517745","    1020.557171","    1013.640572","    1003.588325","    1021.349923","    1030.177625","    1012.074765","    1053.054876","    1000.051480","     989.510940","     990.785491","     908.865426","     877.677065","     939.742886","     904.291865","     880.819095","     854.771901","     843.261815","     792.330617","     778.884335","     796.996857","     763.352506","     760.420748","     753.056817","   29420.211595"
"SONOMA","Residential","    1346.565909","    1275.568954","    1256.915722","    1327.917707","    1302.699184","    1283.447442","    1289.126524","    1348.476449","    1356.311974","    1360.674594","    1347.053875","    1321.733571","    1304.753762","    1273.422245","    1300.047594","    1230.346511","    1226.113177","    1187.360963","    1152.632856","    1117.003156","    1199.609278","    1191.103783","    1140.427771","    1099.953577","    1061.282895","    1032.481043","    1024.717927","    1027.350417","     989.660199","     998.355312","     987.923198","   37361.037569"
"STANISLAUS","Residential","    2014.983126","    1798.191050","    1802.406252","    1841.850761","    1719.715298","    1702.147906","    1717.162305","    1693.417839","    1692.160003","    1661.569396","    1630.366151","    1714.649532","    1709.150943","    1677.357681","    1731.836812","    1651.979906","    1618.975442","    1609.939496","    1504.594058","    1429.157446","    1447.537253","    1377.489813","    1367.577234","    1331.017855","    1331.309900","    1244.928194","    1255.780030","    1219.004491","    1291.823418","    1301.658558","    1196.224573","   48285.962722"
"SUTTER","Residential","     314.625861","     284.784156","     278.235845","     291.471803","     274.174408","     274.079897","     277.375683","     275.500161","     279.446108","     271.513476","     265.639194","     276.900412","     277.339045","     273.800274","     275.778564","     258.988680","     253.908396","     245.299160","     228.446484","     218.281612","     232.958914","     226.282229","     222.022397","     221.102650","     219.973839","     203.000605","     203.671153","     200.471983","     201.911746","     194.811427","     191.661435","    7713.457597"
"TEHAMA","Residential","     263.760993","     238.822720","     231.861848","     240.473949","     229.986091","     229.753696","     231.234878","     237.487218","     238.877118","     233.933574","     233.322096","     237.983447","     234.108508","     230.506039","     227.471812","     214.091026","     216.066137","     202.299822","     198.324868","     189.920926","     200.151209","     197.215782","     191.372709","     187.591870","     186.971977","     177.708536","     176.948991","     173.922991","     176.012138","     175.080818","     171.136295","    6574.400082"
"TRINITY","Residential","      10.566031","       9.517829","      10.070621","      11.466836","      10.834642","      10.104943","      10.276209","      11.067992","      11.337604","      11.472200","      11.181879","      10.583200","       9.961603","       9.410624","       8.548091","       8.258118","       8.393645","       7.839283","       7.947296","       7.554643","       7.868440","       7.574803","       7.393925","       7.337407","       7.248651","       7.045808","       7.025787","      17.383441","      25.816312","      26.623264","      26.298566","     344.009693"
"TULARE","Residential","    1479.691778","    1322.696720","    1256.899657","    1278.518130","    1218.015524","    1217.264382","    1222.446414","    1207.125334","    1182.437774","    1162.597186","    1139.548565","    1187.834849","    1161.833382","    1117.486550","    1191.649757","    1085.305396","    1046.683388","    1037.992959","     941.856796","     923.790627","     961.793645","     889.036948","     890.108631","     875.533090","     875.439751","     829.967205","     834.705547","     812.396109","     820.298247","     807.148766","     788.669980","   32766.773087"
"TUOLUMNE","Residential","     225.817354","     211.080586","     208.626816","     217.220577","     209.496378","     206.746534","     206.394527","     220.057501","     220.626327","     220.781305","     223.120162","     224.598021","     224.826821","     223.197441","     219.319629","     213.712291","     217.990678","     207.067567","     208.126042","     200.323222","     207.414036","     206.826367","     203.618627","     191.286347","     189.765704","     186.285027","     185.058503","     187.026583","     181.083104","     186.355869","     184.325696","    6418.175642"
"VENTURA","Residential","    2023.027695","    1859.920027","    1792.317836","    1827.933348","    1778.723993","    1817.453627","    1905.507160","    1901.986362","    1918.996358","    1800.861122","    1788.889010","    1855.118073","    1891.185623","    1840.943618","    1765.024934","    1785.617789","    1743.615464","    1692.275012","    1582.514287","    1533.135745","    1652.825607","    1519.146669","    1462.680976","    1481.608592","    1426.889935","    1385.918311","    1395.507016","    1351.133971","    1371.460201","    1348.884490","    1349.773045","   51850.875896"
"YOLO","Residential","     590.156247","     532.248490","     516.612804","     540.078941","     510.350832","     507.217327","     508.147701","     510.651250","     513.363201","     500.524435","     494.611918","     514.754319","     508.141190","     498.427208","     511.798595","     492.503669","     473.915433","     473.506280","     437.419409","     416.865691","     444.357865","     419.297392","     407.010551","     401.931353","     395.182263","     364.965623","     362.160463","     366.895768","     366.594257","     361.263298","     361.662528","   14302.616301"
"YUBA","Residential","     251.861806","     225.309080","     219.788601","     229.153606","     215.020015","     210.026148","     214.946328","     212.640647","     215.816250","     208.887004","     203.825510","     205.384934","     200.148010","     198.684861","     193.672975","     183.288672","     171.577850","     158.198050","     154.456146","     148.306897","     155.189816","     151.844232","     148.137424","     146.173412","     148.199468","     139.638867","     141.866205","     140.554885","     141.721570","     139.556078","     137.659067","    5611.534414"
